<TICKER>,<DTYYYYMMDD>,<CLOSE>
فملي-ت,20201212,15973.20
فملي-ت,20201213,15350.00
فملي-ت,20201215,14600.00
فملي-ت,20201216,14970.00
فملي-ت,20201219,15700.00
فملي-ت,20201220,15900.00
فملي-ت,20201221,15910.00
فملي-ت,20201222,15690.00
فملي-ت,20201223,15580.00
فملي-ت,20201226,14950.00
فملي-ت,20201227,14940.00
فملي-ت,20201228,15100.00
فملي-ت,20201229,14570.00
فملي-ت,20201230,14200.00
فملي-ت,20210102,13550.00
فملي-ت,20210103,13660.00
فملي-ت,20210104,13830.00
فملي-ت,20210105,13440.00
فملي-ت,20210106,12870.00
فملي-ت,20210109,12260.00
فملي-ت,20210110,12440.00
فملي-ت,20210111,11980.00
فملي-ت,20210112,11440.00
فملي-ت,20210113,10950.00
فملي-ت,20210116,10410.00
فملي-ت,20210118,9890.00
فملي-ت,20210119,9910.00
فملي-ت,20210120,10380.00
فملي-ت,20210123,10890.00
فملي-ت,20210124,11170.00
فملي-ت,20210125,11220.00
فملي-ت,20210126,10930.00
فملي-ت,20210127,10780.00
فملي-ت,20210130,11290.00
فملي-ت,20210131,11220.00
فملي-ت,20210201,10780.00
فملي-ت,20210202,10300.00
فملي-ت,20210203,9940.00
فملي-ت,20210206,9470.00
فملي-ت,20210207,9930.00
فملي-ت,20210208,10400.00
فملي-ت,20210209,10870.00
فملي-ت,20210213,11520.00
فملي-ت,20210214,12160.00
فملي-ت,20210215,12460.00
فملي-ت,20210216,12280.00
فملي-ت,20210217,12130.00
فملي-ت,20210220,12780.00
فملي-ت,20210221,12570.00
فملي-ت,20210222,12670.00
فملي-ت,20210223,13150.00
فملي-ت,20210224,13230.00
فملي-ت,20210227,12970.00
فملي-ت,20210228,12860.00
فملي-ت,20210301,12650.00
فملي-ت,20210302,12560.00
فملي-ت,20210303,12320.00
فملي-ت,20210306,12080.00
فملي-ت,20210307,11970.00
فملي-ت,20210308,12350.00
فملي-ت,20210309,12410.00
فملي-ت,20210310,12230.00
فملي-ت,20210313,12470.00
فملي-ت,20210314,12570.00
فملي-ت,20210315,12610.00
فملي-ت,20210316,13260.00
فملي-ت,20210317,13610.00
فملي-ت,20210327,13430.00
فملي-ت,20210328,13230.00
فملي-ت,20210330,13040.00
فملي-ت,20210331,12810.00
فملي-ت,20210403,12560.00
فملي-ت,20210404,12310.00
فملي-ت,20210405,12150.00
فملي-ت,20210406,12140.00
فملي-ت,20210407,11910.00
فملي-ت,20210410,11740.00
فملي-ت,20210411,11510.00
فملي-ت,20210412,11300.00
فملي-ت,20210413,11730.00
فملي-ت,20210414,11600.00
فملي-ت,20210417,11380.00
فملي-ت,20210418,11160.00
فملي-ت,20210419,11140.00
فملي-ت,20210420,11280.00
فملي-ت,20210421,11040.00
فملي-ت,20210424,11260.00
فملي-ت,20210425,10960.00
فملي-ت,20210426,11430.00
فملي-ت,20210427,12040.00
فملي-ت,20210428,12210.00
