<TICKER>,<DTYYYYMMDD>,<CLOSE>
حكشتي-ت,20201104,26161.23
حكشتي-ت,20201107,25234.22
حكشتي-ت,20201108,23985.19
حكشتي-ت,20201109,23419.23
حكشتي-ت,20201110,22384.88
حكشتي-ت,20201111,23487.53
حكشتي-ت,20201114,24658.50
حكشتي-ت,20201115,25263.49
حكشتي-ت,20201116,24873.17
حكشتي-ت,20201117,25956.31
حكشتي-ت,20201118,27127.27
حكشتي-ت,20201121,26736.95
حكشتي-ت,20201122,25507.44
حكشتي-ت,20201123,24560.92
حكشتي-ت,20201124,25605.02
حكشتي-ت,20201125,26707.68
حكشتي-ت,20201128,27966.46
حكشتي-ت,20201129,29361.86
حكشتي-ت,20201130,30191.29
حكشتي-ت,20201201,29166.70
حكشتي-ت,20201202,30357.17
حكشتي-ت,20201205,31703.78
حكشتي-ت,20201206,31791.60
حكشتي-ت,20201207,30874.35
حكشتي-ت,20201208,29986.37
حكشتي-ت,20201209,31264.67
حكشتي-ت,20201212,31235.40
حكشتي-ت,20201213,29840.00
حكشتي-ت,20201215,28350.00
حكشتي-ت,20201216,27000.00
حكشتي-ت,20201219,27730.00
حكشتي-ت,20201220,26520.00
حكشتي-ت,20201221,25410.00
حكشتي-ت,20201222,25750.00
حكشتي-ت,20201223,26040.00
حكشتي-ت,20201226,24890.00
حكشتي-ت,20201227,24280.00
حكشتي-ت,20201228,25340.00
حكشتي-ت,20201229,24350.00
حكشتي-ت,20201230,23310.00
حكشتي-ت,20210102,22190.00
حكشتي-ت,20210103,21380.00
حكشتي-ت,20210104,21740.00
حكشتي-ت,20210105,20770.00
حكشتي-ت,20210106,19780.00
حكشتي-ت,20210109,20180.00
حكشتي-ت,20210110,21120.00
حكشتي-ت,20210111,22070.00
حكشتي-ت,20210112,21020.00
حكشتي-ت,20210113,20650.00
حكشتي-ت,20210116,19790.00
حكشتي-ت,20210118,19300.00
حكشتي-ت,20210119,18830.00
حكشتي-ت,20210120,19720.00
حكشتي-ت,20210123,20690.00
حكشتي-ت,20210124,20550.00
حكشتي-ت,20210125,20120.00
حكشتي-ت,20210126,19280.00
حكشتي-ت,20210127,18510.00
حكشتي-ت,20210130,19400.00
حكشتي-ت,20210131,20310.00
حكشتي-ت,20210201,21220.00
حكشتي-ت,20210202,21960.00
حكشتي-ت,20210203,21240.00
حكشتي-ت,20210206,20180.00
حكشتي-ت,20210207,21000.00
حكشتي-ت,20210208,20430.00
حكشتي-ت,20210209,20820.00
حكشتي-ت,20210213,22000.00
حكشتي-ت,20210214,21770.00
حكشتي-ت,20210215,21560.00
حكشتي-ت,20210216,21320.00
حكشتي-ت,20210217,21020.00
حكشتي-ت,20210220,20830.00
حكشتي-ت,20210221,20800.00
حكشتي-ت,20210222,20730.00
حكشتي-ت,20210223,20630.00
حكشتي-ت,20210224,20580.00
حكشتي-ت,20210227,20410.00
حكشتي-ت,20210228,20290.00
حكشتي-ت,20210301,20230.00
حكشتي-ت,20210302,20150.00
حكشتي-ت,20210303,20130.00
حكشتي-ت,20210306,20110.00
حكشتي-ت,20210307,20090.00
حكشتي-ت,20210308,19930.00
حكشتي-ت,20210309,19640.00
حكشتي-ت,20210310,19600.00
حكشتي-ت,20210313,19560.00
حكشتي-ت,20210314,19480.00
حكشتي-ت,20210315,19190.00
حكشتي-ت,20210316,19670.00
حكشتي-ت,20210317,19360.00
حكشتي-ت,20210327,20250.00
حكشتي-ت,20210328,20090.00
حكشتي-ت,20210330,19830.00
حكشتي-ت,20210331,19460.00
حكشتي-ت,20210403,19750.00
حكشتي-ت,20210404,19400.00
حكشتي-ت,20210405,19300.00
حكشتي-ت,20210406,19450.00
حكشتي-ت,20210407,19110.00
حكشتي-ت,20210410,18830.00
حكشتي-ت,20210411,18730.00
حكشتي-ت,20210412,18370.00
حكشتي-ت,20210413,18360.00
حكشتي-ت,20210414,18230.00
حكشتي-ت,20210417,18210.00
حكشتي-ت,20210418,18200.00
حكشتي-ت,20210419,18180.00
حكشتي-ت,20210420,18080.00
حكشتي-ت,20210421,18050.00
حكشتي-ت,20210424,18020.00
حكشتي-ت,20210425,18010.00
حكشتي-ت,20210426,17990.00
حكشتي-ت,20210427,17840.00
حكشتي-ت,20210428,17350.00
