<TICKER>,<DTYYYYMMDD>,<CLOSE>
همراه-ت,20190804,10330.06
همراه-ت,20190805,10417.31
همراه-ت,20190806,10431.08
همراه-ت,20190807,10463.23
همراه-ت,20190810,10496.29
همراه-ت,20190811,10804.87
همراه-ت,20190813,11303.56
همراه-ت,20190814,11850.00
همراه-ت,20190817,11833.47
همراه-ت,20190818,11336.62
همراه-ت,20190819,11665.40
همراه-ت,20190821,12010.72
همراه-ت,20190824,12260.52
همراه-ت,20190825,12018.06
همراه-ت,20190826,12024.49
همراه-ت,20190827,12037.35
همراه-ت,20190828,11979.49
همراه-ت,20190831,11983.16
همراه-ت,20190901,11951.94
همراه-ت,20190902,11929.90
همراه-ت,20190903,11904.18
همراه-ت,20190904,12029.08
همراه-ت,20190907,11943.67
همراه-ت,20190908,11868.37
همراه-ت,20190911,11870.20
همراه-ت,20190914,12006.12
همراه-ت,20190915,12019.90
همراه-ت,20190916,11951.94
همراه-ت,20190917,11888.57
همراه-ت,20190918,11696.63
همراه-ت,20190921,11748.06
همراه-ت,20190922,11842.65
همراه-ت,20190923,11901.43
همراه-ت,20190924,11894.08
همراه-ت,20190925,11930.82
همراه-ت,20190928,12169.60
همراه-ت,20190929,12191.64
همراه-ت,20190930,12785.84
همراه-ت,20191001,13166.97
همراه-ت,20191002,13138.50
همراه-ت,20191005,13390.14
همراه-ت,20191006,13183.50
همراه-ت,20191007,13190.85
همراه-ت,20191008,12959.41
همراه-ت,20191009,12776.65
همراه-ت,20191012,13046.66
همراه-ت,20191013,13049.42
همراه-ت,20191014,12896.96
همراه-ت,20191015,12492.87
همراه-ت,20191016,12764.71
همراه-ت,20191020,12531.44
همراه-ت,20191021,12575.53
همراه-ت,20191022,12750.02
همراه-ت,20191023,12606.75
همراه-ت,20191026,12511.24
همراه-ت,20191028,12583.79
همراه-ت,20191030,12595.73
همراه-ت,20191102,12577.36
همراه-ت,20191103,12656.34
همراه-ت,20191104,12509.40
همراه-ت,20191105,12460.73
همراه-ت,20191109,12424.91
همراه-ت,20191110,12367.97
همراه-ت,20191111,12364.30
همراه-ت,20191112,12357.87
همراه-ت,20191113,12308.27
همراه-ت,20191116,12269.70
همراه-ت,20191117,12314.70
همراه-ت,20191118,12258.68
همراه-ت,20191119,12280.72
همراه-ت,20191120,12367.05
همراه-ت,20191123,12469.91
همراه-ت,20191124,12671.96
همراه-ت,20191125,12851.04
همراه-ت,20191126,12941.96
همراه-ت,20191127,12942.88
همراه-ت,20191130,13236.77
همراه-ت,20191201,13639.94
همراه-ت,20191202,13553.61
همراه-ت,20191203,13296.46
همراه-ت,20191204,13024.62
همراه-ت,20191207,12895.13
همراه-ت,20191208,12902.47
همراه-ت,20191209,12912.58
همراه-ت,20191210,12998.90
همراه-ت,20191211,13064.11
همراه-ت,20191214,12985.13
همراه-ت,20191215,12974.11
همراه-ت,20191216,12952.07
همراه-ت,20191217,12869.41
همراه-ت,20191218,12894.21
همراه-ت,20191221,13172.48
همراه-ت,20191222,13097.17
همراه-ت,20191223,12926.35
همراه-ت,20191224,12936.45
همراه-ت,20191225,12937.37
همراه-ت,20191228,12902.47
همراه-ت,20191229,12975.03
همراه-ت,20191230,12953.90
همراه-ت,20191231,12899.72
همراه-ت,20200101,12951.15
همراه-ت,20200104,12475.42
همراه-ت,20200105,13672.09
همراه-ت,20200107,13561.88
همراه-ت,20200108,13396.57
همراه-ت,20200111,13663.82
همراه-ت,20200112,14346.18
همراه-ت,20200113,15055.18
همراه-ت,20200114,15210.39
همراه-ت,20200115,15208.55
همراه-ت,20200118,15547.44
همراه-ت,20200119,15265.49
