<TICKER>,<DTYYYYMMDD>,<CLOSE>
شپنا-ت,20200218,4287.10
شپنا-ت,20200219,4341.80
شپنا-ت,20200222,4305.76
شپنا-ت,20200223,4433.84
شپنا-ت,20200224,4395.87
شپنا-ت,20200225,4383.00
شپنا-ت,20200226,4461.52
شپنا-ت,20200229,4238.83
شپنا-ت,20200301,4074.71
شپنا-ت,20200302,4157.09
شپنا-ت,20200303,4231.10
شپنا-ت,20200304,4261.35
شپنا-ت,20200307,4063.76
شپنا-ت,20200309,3873.90
شپنا-ت,20200310,3753.54
شپنا-ت,20200311,3614.52
شپنا-ت,20200314,3480.65
شپنا-ت,20200315,3486.44
شپنا-ت,20200316,3647.35
شپنا-ت,20200317,3516.05
شپنا-ت,20200318,3553.38
شپنا-ت,20200324,3396.34
شپنا-ت,20200325,3458.13
شپنا-ت,20200328,3491.59
شپنا-ت,20200329,3492.24
شپنا-ت,20200330,3452.33
شپنا-ت,20200404,3624.82
شپنا-ت,20200405,3647.35
شپنا-ت,20200406,3513.48
شپنا-ت,20200407,3534.07
شپنا-ت,20200408,3647.99
شپنا-ت,20200411,3801.17
شپنا-ت,20200412,3964.00
شپنا-ت,20200413,3956.28
شپنا-ت,20200414,3831.42
شپنا-ت,20200415,3851.37
شپنا-ت,20200418,3946.63
شپنا-ت,20200419,4119.76
شپنا-ت,20200420,4316.70
شپنا-ت,20200421,4342.45
شپنا-ت,20200422,4290.96
شپنا-ت,20200425,4505.28
شپنا-ت,20200426,4730.55
شپنا-ت,20200427,4966.75
شپنا-ت,20200428,5214.54
شپنا-ت,20200429,5475.21
شپنا-ت,20200502,5475.21
شپنا-ت,20200503,5475.21
شپنا-ت,20200504,6030.64
شپنا-ت,20200505,6331.85
شپنا-ت,20200506,6647.87
شپنا-ت,20200509,6979.97
شپنا-ت,20200510,7328.81
شپنا-ت,20200511,7695.02
شپنا-ت,20200512,7931.87
شپنا-ت,20200513,8299.37
شپنا-ت,20200516,7977.57
شپنا-ت,20200517,7727.85
شپنا-ت,20200518,8101.14
شپنا-ت,20200519,7950.54
شپنا-ت,20200520,7610.71
شپنا-ت,20200523,7230.33
شپنا-ت,20200526,6932.18
شپنا-ت,20200527,7194.27
شپنا-ت,20200530,7553.60
شپنا-ت,20200531,7874.29
